gold_position,mean_score,n
0,702.6930689577197,61
1,60.24154347958772,46
2,55.09333110385471,45
3,53.93285891035913,71
4,51.37995083435722,46
5,35.99578902504661,55
6,64.86320210420169,52
7,51.75956803447795,53
8,39.90566162909231,62
9,52.41916126675076,45
10,41.683443397772116,61
11,40.76707410812378,69
12,40.78034023336462,37
13,36.1718533039093,60
14,36.903939161300656,50
15,38.96587835474217,47
16,55.1964237631821,41
17,34.77917133889547,41
18,24.454459330131268,58
19,31.39417897100034,46
20,31.41297917488294,39
21,28.08760872533766,59
22,36.18415053036748,49
23,31.380258900778635,56
24,35.59184043495743,54
25,39.387793054767684,51
26,30.546700830459596,50
27,32.22035887434676,37
28,37.16638702457234,59
29,22.4158758771035,62
30,28.52170247265271,56
31,29.930186047392375,59
32,29.19451411994728,37
33,27.213119689156027,51
34,27.34828143649631,45
35,34.63130071028223,53
36,35.09586289871571,43
37,31.813551442963735,42
38,26.86456937789917,45
39,35.487987366589635,44
40,48.007651925086975,32
41,36.86598563194275,54
42,34.97492751767558,62
43,27.411544303894043,50
44,23.222296673318613,46
45,34.0815355387601,55
46,26.591862810069117,58
47,36.99335791847923,44
48,46.07737774319119,36
49,35.581324634552004,50
50,41.892246280397686,56
51,46.39812667930828,68
52,28.99020324283176,45
53,23.77327952018151,39
54,27.33190095424652,52
55,21.393503621772485,54
56,31.829162620729015,62
57,22.7377987916653,52
58,34.98156313993493,49
59,30.041596794128417,50
60,37.45149293237803,49
61,29.59345100544117,54
62,33.4242089105689,46
63,57.005426267782845,24
64,40.503460202898296,56
65,42.02495756902193,57
66,46.03045583238789,51
67,24.633202500965286,46
68,38.7500657867967,57
69,31.067098059744204,53
70,31.052757491668064,48
71,35.332707677568706,49
72,46.7498653956822,56
73,30.517774096990035,59
74,39.15630494571123,61
75,37.683691068931864,54
76,36.40777113858391,51
77,39.51772634718153,45
78,38.89614157981061,47
79,49.99053283532461,36
80,29.92786169052124,50
81,26.1525776386261,50
82,37.147821051733835,42
83,48.965853905191224,49
84,52.37660513118822,49
85,41.61061517582383,43
86,30.8568085387901,54
87,30.19148153305054,50
88,43.00459747844272,54
89,46.04290118116013,47
90,49.25063833736238,42
91,39.21262222131093,60
92,50.02701112803291,34
93,48.09925180551957,49
94,59.33313708035451,53
95,83.62222987583705,35
96,63.66339590035233,51
97,66.29933162068211,43
98,90.72018047407562,51
99,158.88883486661044,44
